time_day,hour,generation_pv,consumption,surplus,grid consumption,use_power_pv1,use_power_grid1,battery_stat1,en_battery_grid1,en_battery_pv1,en_dump1
1.0,1.0,0.0,4342.29517677774,0.0,4342.29517677774,0.0,4342.29517677774,0.0,0.0,0.0,0.0
2.0,2.0,0.0,2878.178359247494,0.0,2878.178359247494,0.0,2878.178359247494,0.0,0.0,0.0,0.0
3.0,3.0,0.0,2890.692178200744,0.0,2890.692178200744,0.0,4290.692178200744,1400.0,1400.0,0.0,0.0
4.0,4.0,0.0,3153.482376218993,0.0,3153.482376218993,0.0,4553.4823762189935,2800.0,1400.0,0.0,0.0
5.0,5.0,0.0,2803.095445527994,0.0,2803.095445527994,0.0,153.0954455279939,150.0,0.0,0.0,0.0
6.0,6.0,0.0,2853.150721340994,0.0,2853.150721340994,0.0,2853.150721340994,150.0,0.0,0.0,0.0
7.0,7.0,0.0,2853.150721340994,0.0,2853.150721340994,0.0,2853.150721340994,150.0,0.0,0.0,0.0
8.0,8.0,0.0,3729.118048068492,0.0,3729.118048068492,0.0,3729.118048068492,150.0,0.0,0.0,0.0
9.0,9.0,23726.038210560007,5255.8039603649895,18470.23425019502,2619.577492524989,6655.803960364989,0.0,1550.0,0.0,1400.0,17070.23425019502
10.0,10.0,56350.721280000005,3704.090410161992,52646.630869838016,0.0,5104.090410161989,0.0,2950.0,0.0,1400.0,51246.630869838016
11.0,11.0,88228.74683392,4517.48864212324,83711.25819179676,0.0,4567.488642123237,0.0,3000.0,0.0,50.0,83661.25819179676
12.0,12.0,113197.42930944002,763.3429561482484,112434.08635329177,0.0,763.342956148248,0.0,3000.0,0.0,0.0,112434.08635329177
13.0,13.0,124882.06721536003,625.6909476624987,124256.37626769753,0.0,625.6909476625005,0.0,3000.0,0.0,0.0,124256.37626769753
14.0,14.0,122838.04624896003,625.6909476624987,122212.35530129753,0.0,625.6909476625005,0.0,3000.0,0.0,0.0,122212.35530129753
15.0,15.0,104644.167936,6031.660735466488,98612.50720053351,0.0,6031.660735466488,0.0,3000.0,0.0,0.0,98612.50720053351
16.0,16.0,65376.542228480015,4029.449702946492,61347.092525533524,0.0,4029.449702946491,0.0,3000.0,0.0,0.0,61347.092525533524
17.0,17.0,3373.8477875199997,4842.84793490774,0.0,4644.38630034774,3373.8477875199997,0.0,1380.99985261226,0.0,0.0,0.0
18.0,18.0,0.0,4066.9911598062417,0.0,4066.9911598062417,0.0,2835.991307193982,150.0,0.0,0.0,0.0
19.0,19.0,0.0,3616.493677489242,0.0,3616.493677489242,0.0,3616.493677489242,150.0,0.0,0.0,0.0
20.0,20.0,0.0,5443.511244663739,0.0,5443.511244663739,0.0,5443.511244663739,150.0,0.0,0.0,0.0
21.0,21.0,0.0,8121.468500659233,0.0,8121.468500659233,0.0,8121.468500659233,150.0,0.0,0.0,0.0
22.0,22.0,0.0,9047.49110319973,0.0,9047.49110319973,0.0,9047.49110319973,150.0,0.0,0.0,0.0
23.0,23.0,0.0,8108.954681705984,0.0,8108.954681705984,0.0,8108.954681705984,150.0,0.0,0.0,0.0
