time_day,hour,generation_pv,consumption,surplus,grid consumption,use_power_pv1,use_power_grid1,battery_stat1,en_battery_grid1,en_battery_pv1,en_dump1
1.0,1.0,0.0,4342.29517677774,0.0,4342.29517677774,0.0,4342.29517677774,0.0,0.0,0.0,0.0
2.0,2.0,0.0,2878.178359247494,0.0,2878.178359247494,0.0,2878.178359247494,0.0,0.0,0.0,0.0
3.0,3.0,0.0,2890.692178200744,0.0,2890.692178200744,0.0,3890.692178200744,0.0,1000.0,0.0,0.0
4.0,4.0,0.0,3153.482376218993,0.0,3153.482376218993,0.0,4153.4823762189935,0.0,1000.0,0.0,0.0
5.0,5.0,0.0,2803.095445527994,0.0,2803.095445527994,0.0,2803.095445527994,0.0,0.0,0.0,0.0
6.0,6.0,0.0,2853.150721340994,0.0,2853.150721340994,0.0,2853.150721340994,0.0,0.0,0.0,0.0
7.0,7.0,0.0,2853.150721340994,0.0,2853.150721340994,0.0,2853.150721340994,0.0,0.0,0.0,0.0
8.0,8.0,0.0,3729.118048068492,0.0,3729.118048068492,0.0,3729.118048068492,0.0,0.0,0.0,0.0
9.0,9.0,576.6745398400001,5255.8039603649895,0.0,2619.577492524989,576.6745398400001,4679.12942052499,0.0,0.0,0.0,0.0
10.0,10.0,2641.4400600000004,3704.090410161992,0.0,0.0,2641.4400600000004,1062.6503501619918,0.0,0.0,0.0,0.0
11.0,11.0,3923.2150289436513,4517.48864212324,0.0,0.0,3923.2150289436513,594.2736131795891,0.0,0.0,0.0,0.0
12.0,12.0,3316.3309368000005,763.3429561482484,2552.987980651752,0.0,1763.3429561482485,0.0,1000.0,0.0,1000.0,1552.987980651752
13.0,13.0,3377.2193658000006,625.6909476624987,2751.528418137502,0.0,625.6909476624987,0.0,1000.0,0.0,0.0,2751.528418137502
14.0,14.0,3084.660759600001,625.6909476624987,2458.969811937502,0.0,625.6909476624987,0.0,1000.0,0.0,0.0,2458.969811937502
15.0,15.0,2452.597686,6031.660735466488,0.0,0.0,2452.597686,2629.0630494664883,50.0,0.0,0.0,0.0
16.0,16.0,1571.551497448475,4029.449702946492,0.0,0.0,1571.551497448475,2457.898205498017,50.0,0.0,0.0,0.0
17.0,17.0,79.73904954329667,4842.84793490774,0.0,4644.38630034774,79.73904954329667,4763.108885364443,50.0,0.0,0.0,0.0
18.0,18.0,0.0,4066.9911598062417,0.0,4066.9911598062417,0.0,4066.9911598062417,50.0,0.0,0.0,0.0
19.0,19.0,0.0,3616.493677489242,0.0,3616.493677489242,0.0,3616.493677489242,50.0,0.0,0.0,0.0
20.0,20.0,0.0,5443.511244663739,0.0,5443.511244663739,0.0,5443.511244663739,50.0,0.0,0.0,0.0
21.0,21.0,0.0,8121.468500659233,0.0,8121.468500659233,0.0,8121.468500659233,50.0,0.0,0.0,0.0
22.0,22.0,0.0,9047.49110319973,0.0,9047.49110319973,0.0,9047.49110319973,50.0,0.0,0.0,0.0
23.0,23.0,0.0,8108.954681705984,0.0,8108.954681705984,0.0,8108.954681705984,50.0,0.0,0.0,0.0
