time_day,hour,generation_pv,consumption,surplus,grid consumption,use_power_pv1,use_power_grid1,battery_stat1,en_battery_grid1,en_battery_pv1,en_dump1
1.0,1.0,0.0,4342.29517677774,0.0,4342.29517677774,0.0,4342.29517677774,0.0,0.0,0.0,0.0
2.0,2.0,0.0,2878.178359247494,0.0,2878.178359247494,0.0,2878.178359247494,0.0,0.0,0.0,0.0
3.0,3.0,0.0,2890.692178200744,0.0,2890.692178200744,0.0,4290.692178200744,1400.0,1400.0,0.0,0.0
4.0,4.0,0.0,3153.482376218993,0.0,3153.482376218993,0.0,4553.4823762189935,2800.0,1400.0,0.0,0.0
5.0,5.0,0.0,2803.095445527994,0.0,2803.095445527994,0.0,1503.095445527994,1500.0,0.0,0.0,0.0
6.0,6.0,0.0,2853.150721340994,0.0,2853.150721340994,0.0,2853.150721340994,1500.0,0.0,0.0,0.0
7.0,7.0,0.0,2853.150721340994,0.0,2853.150721340994,0.0,2853.150721340994,1500.0,0.0,0.0,0.0
8.0,8.0,0.0,3729.118048068492,0.0,3729.118048068492,0.0,3729.118048068492,1500.0,0.0,0.0,0.0
9.0,9.0,527.3271639552,5255.8039603649895,0.0,2619.1681405889894,527.3271639552,4728.476796409789,1500.0,0.0,0.0,0.0
10.0,10.0,1127.1894278400002,3704.090410161992,0.0,0.0,1127.1894278400002,2576.900982321992,1500.0,0.0,0.0,0.0
11.0,11.0,1604.4081263616001,4517.48864212324,0.0,0.0,1604.4081263616001,2913.0805157616405,1500.0,0.0,0.0,0.0
12.0,12.0,1886.9167758336005,763.3429561482484,1123.5738196853522,0.0,1886.9167758336005,0.0,2623.573819685352,0.0,1123.5738196853522,0.0
13.0,13.0,1921.5609052416003,625.6909476624987,1295.8699575791015,0.0,1921.5609052416003,0.0,3919.4437772644537,0.0,1295.8699575791015,0.0
14.0,14.0,1755.1017211392002,625.6909476624987,1129.4107734767015,0.0,1755.1017211392002,0.0,5048.854550741155,0.0,1129.4107734767015,0.0
15.0,15.0,1395.4722270720004,6031.660735466488,0.0,0.0,1395.4722270720004,1087.3339576533326,1500.0,0.0,0.0,0.0
16.0,16.0,817.3336733184001,4029.449702946492,0.0,0.0,817.3336733184001,3212.116029628092,1500.0,0.0,0.0,0.0
17.0,17.0,39.69849031680001,4842.84793490774,0.0,4644.3554833237395,39.69849031680001,4803.149444590939,1500.0,0.0,0.0,0.0
18.0,18.0,0.0,4066.9911598062417,0.0,4066.9911598062417,0.0,4066.9911598062417,1500.0,0.0,0.0,0.0
19.0,19.0,0.0,3616.493677489242,0.0,3616.493677489242,0.0,3616.493677489242,1500.0,0.0,0.0,0.0
20.0,20.0,0.0,5443.511244663739,0.0,5443.511244663739,0.0,5443.511244663739,1500.0,0.0,0.0,0.0
21.0,21.0,0.0,8121.468500659233,0.0,8121.468500659233,0.0,8121.468500659233,1500.0,0.0,0.0,0.0
22.0,22.0,0.0,9047.49110319973,0.0,9047.49110319973,0.0,9047.49110319973,1500.0,0.0,0.0,0.0
