time_day,hour,generation_pv,consumption,surplus,grid consumption,use_power_pv1,use_power_grid1,battery_stat1,en_battery_grid1,en_battery_pv1,en_dump1
23.0,4319.0,0.0,8133.9823196124835,0.0,8133.9823196124835,0.0,8133.9823196124835,1500.0,0.0,0.0,0.0
24.0,4320.0,0.0,5606.190891055988,0.0,5606.190891055988,0.0,5606.190891055988,1500.0,0.0,0.0,0.0
1.0,4321.0,0.0,3278.620565751493,0.0,3278.620565751493,0.0,3278.620565751493,1500.0,0.0,0.0,0.0
2.0,4322.0,0.0,3015.830367733244,0.0,3015.830367733244,0.0,3015.830367733244,1500.0,0.0,0.0,0.0
3.0,4323.0,0.0,2502.763790649995,0.0,2502.763790649995,0.0,3902.763790649995,2900.0,1400.0,0.0,0.0
4.0,4324.0,0.0,2602.8743422759944,0.0,2602.8743422759944,0.0,4002.8743422759944,4300.0,1400.0,0.0,0.0
5.0,4325.0,0.0,2502.763790649995,0.0,2502.763790649995,0.0,0.0,297.2362093500051,0.0,0.0,0.0
6.0,4326.0,121.82130688000002,2490.2499716967445,0.0,1881.1434372967444,121.82130688000002,2368.4286648167445,297.2362093500051,0.0,0.0,0.0
7.0,4327.0,666.2019051520001,2577.8467043694945,0.0,0.0,666.2019051520001,1911.6447992174944,297.2362093500051,0.0,0.0,0.0
8.0,4328.0,1322.9660057600004,3829.228599694492,0.0,0.0,1322.9660057600004,2506.2625939344916,297.2362093500051,0.0,0.0,0.0
9.0,4329.0,1976.2160302080003,5643.7323479157385,0.0,0.0,1976.2160302080003,3667.5163177077384,297.2362093500051,0.0,0.0,0.0
10.0,4330.0,2531.272726528001,6494.672036736736,0.0,0.0,2531.272726528001,3963.399310208735,297.2362093500051,0.0,0.0,0.0
11.0,4331.0,2970.0302356480006,6669.865502082235,0.0,0.0,2970.0302356480006,3699.8352664342347,297.2362093500051,0.0,0.0,0.0
12.0,4332.0,3234.958110720001,7833.650664734484,0.0,0.0,3234.958110720001,4598.692554014483,297.2362093500051,0.0,0.0,0.0
13.0,4333.0,3301.9263621120003,9435.41949075048,0.0,0.0,3301.9263621120003,6133.49312863848,297.2362093500051,0.0,0.0,0.0
14.0,4334.0,3144.730021888001,10311.386817477978,0.0,0.0,3144.730021888001,7166.656795589977,297.2362093500051,0.0,0.0,0.0
15.0,4335.0,2754.3998289920005,8221.579052285233,0.0,0.0,2754.3998289920005,5467.179223293233,297.2362093500051,0.0,0.0,0.0
16.0,4336.0,2280.8027648,6119.257468139237,0.0,0.0,2280.8027648,3838.454703339237,297.2362093500051,0.0,0.0,0.0
17.0,4337.0,1598.8711854080002,7821.136845781234,0.0,0.0,1598.8711854080002,6222.265660373234,297.2362093500051,0.0,0.0,0.0
18.0,4338.0,984.9788139520002,5543.621796289738,0.0,618.7277265297371,984.9788139520002,4558.6429823377375,297.2362093500051,0.0,0.0,0.0
19.0,4339.0,391.9366277120001,11137.298868392478,0.0,9177.615729832478,391.9366277120001,10745.362240680477,297.2362093500051,0.0,0.0,0.0
20.0,4340.0,0.0,15254.345304011718,0.0,15254.345304011718,0.0,15254.345304011718,297.2362093500051,0.0,0.0,0.0
21.0,4341.0,0.0,13214.592814631971,0.0,13214.592814631971,0.0,13214.592814631971,297.2362093500051,0.0,0.0,0.0
22.0,4342.0,0.0,10486.580282823475,0.0,10486.580282823475,0.0,10486.580282823475,297.2362093500051,0.0,0.0,0.0
23.0,4343.0,0.0,8133.9823196124835,0.0,8133.9823196124835,0.0,8133.9823196124835,297.2362093500051,0.0,0.0,0.0
24.0,4344.0,0.0,5606.190891055988,0.0,5606.190891055988,0.0,5606.190891055988,297.2362093500051,0.0,0.0,0.0
1.0,4345.0,0.0,3278.620565751493,0.0,3278.620565751493,0.0,3278.620565751493,297.2362093500051,0.0,0.0,0.0
2.0,4346.0,0.0,3015.830367733244,0.0,3015.830367733244,0.0,3015.830367733244,297.2362093500051,0.0,0.0,0.0
3.0,4347.0,0.0,2502.763790649995,0.0,2502.763790649995,0.0,3902.763790649995,1697.236209350005,1400.0,0.0,0.0
4.0,4348.0,0.0,2602.8743422759944,0.0,2602.8743422759944,0.0,4002.8743422759944,3097.236209350005,1400.0,0.0,0.0
