time_day,hour,generation_pv,consumption,surplus,grid consumption,use_power_pv1,use_power_grid1,battery_stat1,en_battery_grid1,en_battery_pv1,en_dump1
1.0,1.0,0.0,4342.29517677774,0.0,4342.29517677774,0.0,4342.29517677774,0.0,0.0,0.0,0.0
2.0,2.0,0.0,2878.178359247494,0.0,2878.178359247494,0.0,2878.178359247494,0.0,0.0,0.0,0.0
3.0,3.0,0.0,2890.692178200744,0.0,2890.692178200744,0.0,4290.692178200744,1400.0,1400.0,0.0,0.0
4.0,4.0,0.0,3153.482376218993,0.0,3153.482376218993,0.0,4553.4823762189935,2800.0,1400.0,0.0,0.0
5.0,5.0,0.0,2803.095445527994,0.0,2803.095445527994,0.0,1503.095445527994,1500.0,0.0,0.0,0.0
6.0,6.0,0.0,2853.150721340994,0.0,2853.150721340994,0.0,2853.150721340994,1500.0,0.0,0.0,0.0
7.0,7.0,0.0,2853.150721340994,0.0,2853.150721340994,0.0,2853.150721340994,1500.0,0.0,0.0,0.0
8.0,8.0,0.0,3729.118048068492,0.0,3729.118048068492,0.0,3729.118048068492,1500.0,0.0,0.0,0.0
9.0,9.0,2109.3086558208,5255.8039603649895,0.0,2619.1681405889894,2109.3086558208,3146.4953045441894,1500.0,0.0,0.0,0.0
10.0,10.0,4508.757711360001,3704.090410161992,804.6673011980088,0.0,4508.757711360001,0.0,2304.6673011980088,0.0,804.6673011980088,0.0
11.0,11.0,6417.6325054464005,4517.48864212324,1900.14386332316,0.0,5917.48864212324,0.0,3704.6673011980088,0.0,1400.0,500.1438633231601
12.0,12.0,7547.667103334402,763.3429561482484,6784.324147186154,0.0,2163.342956148248,0.0,5104.667301198009,0.0,1400.0,5384.324147186154
13.0,13.0,7686.243620966401,625.6909476624987,7060.552673303902,0.0,2025.6909476624987,0.0,6504.667301198009,0.0,1400.0,5660.552673303902
14.0,14.0,7020.406884556801,625.6909476624987,6394.715936894302,0.0,2025.6909476624987,0.0,7904.667301198009,0.0,1400.0,4994.715936894302
15.0,15.0,5581.888908288001,6031.660735466488,0.0,0.0,5581.888908288001,0.0,5954.895474019522,0.0,0.0,0.0
16.0,16.0,3269.3346932736004,4029.449702946492,0.0,0.0,3269.3346932736004,0.0,3694.7804643466307,0.0,0.0,0.0
17.0,17.0,158.79396126720005,4842.84793490774,0.0,4644.3554833237395,158.79396126720005,2489.2735092939092,1500.0,0.0,0.0,0.0
18.0,18.0,0.0,4066.9911598062417,0.0,4066.9911598062417,0.0,4066.9911598062417,1500.0,0.0,0.0,0.0
19.0,19.0,0.0,3616.493677489242,0.0,3616.493677489242,0.0,3616.493677489242,1500.0,0.0,0.0,0.0
20.0,20.0,0.0,5443.511244663739,0.0,5443.511244663739,0.0,5443.511244663739,1500.0,0.0,0.0,0.0
21.0,21.0,0.0,8121.468500659233,0.0,8121.468500659233,0.0,8121.468500659233,1500.0,0.0,0.0,0.0
22.0,22.0,0.0,9047.49110319973,0.0,9047.49110319973,0.0,9047.49110319973,1500.0,0.0,0.0,0.0
